State ,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Telangana,WARANGAL,Banana,2018,Kharif     ,312,24280,77.82
Telangana,WARANGAL,Banana,2019,Kharif     ,362,24724,68.3
Telangana,YADADRI,Banana,2016,Kharif     ,4,185,46.25
Telangana,YADADRI,Banana,2017,Kharif     ,2,129,64.5
Telangana,YADADRI,Banana,2018,Kharif     ,3,185,61.67
Telangana,YADADRI,Banana,2019,Kharif     ,4,236,59
Telangana,ADILABAD,Cashewnut,2013,Kharif     ,27,17,0.63
Telangana,ADILABAD,Cashewnut,2014,Kharif     ,12,7,0.58
Telangana,BHADRADRI,Cashewnut,2016,Kharif     ,1726,725,0.42
Telangana,BHADRADRI,Cashewnut,2017,Kharif     ,1476,447,0.3
Telangana,BHADRADRI,Cashewnut,2018,Kharif     ,1408,346,0.25
Telangana,BHADRADRI,Cashewnut,2019,Kharif     ,1399,428,0.31
Telangana,JAYASHANKAR,Cashewnut,2016,Kharif     ,27,11,0.41
Telangana,JAYASHANKAR,Cashewnut,2017,Kharif     ,22,7,0.32
Telangana,KHAMMAM,Cashewnut,2013,Kharif     ,4208,2693,0.64
Telangana,KHAMMAM,Cashewnut,2014,Kharif     ,4077,2283,0.56
Telangana,KHAMMAM,Cashewnut,2015,Kharif     ,3036,2146,0.71
Telangana,KHAMMAM,Cashewnut,2016,Kharif     ,85,36,0.42
Telangana,KHAMMAM,Cashewnut,2017,Kharif     ,76,23,0.3
Telangana,KHAMMAM,Cashewnut,2018,Kharif     ,76,19,0.25
Telangana,KHAMMAM,Cashewnut,2019,Kharif     ,76,23,0.3
Telangana,KOMARAM BHEEM ASIFABAD,Cashewnut,2018,Kharif     ,4,1,0.25
Telangana,KOMARAM BHEEM ASIFABAD,Cashewnut,2019,Kharif     ,16,5,0.31
Telangana,MANCHERIAL,Cashewnut,2017,Kharif     ,4,1,0.25
Telangana,MANCHERIAL,Cashewnut,2018,Kharif     ,4,1,0.25
Telangana,MANCHERIAL,Cashewnut,2019,Kharif     ,6,2,0.33
Telangana,MULUGU,Cashewnut,2018,Kharif     ,13,3,0.23
Telangana,MULUGU,Cashewnut,2019,Kharif     ,10,3,0.3
Telangana,RANGAREDDI,Cashewnut,2016,Kharif     ,3,1,0.33
Telangana,SANGAREDDY,Cashewnut,2018,Kharif     ,4,1,0.25
Telangana,SANGAREDDY,Cashewnut,2019,Kharif     ,14,4,0.29
Telangana,ADILABAD,Castor seed,2013,Kharif     ,125,88,0.7
Telangana,ADILABAD,Castor seed,2013,Rabi       ,10,7,0.7
Telangana,ADILABAD,Castor seed,2014,Kharif     ,91,53,0.58
Telangana,ADILABAD,Castor seed,2014,Rabi       ,3,2,0.67
Telangana,ADILABAD,Castor seed,2015,Kharif     ,59,21,0.36
Telangana,ADILABAD,Castor seed,2016,Kharif     ,89,53,0.6
Telangana,ADILABAD,Castor seed,2017,Kharif     ,74,69,0.93
Telangana,ADILABAD,Castor seed,2018,Kharif     ,23,18,0.78
Telangana,ADILABAD,Castor seed,2019,Kharif     ,7,9,1.29
Telangana,ADILABAD,Castor seed,2019,Rabi       ,1,1,1
Telangana,JANGOAN,Castor seed,2016,Kharif     ,209,124,0.59
Telangana,JANGOAN,Castor seed,2017,Kharif     ,3,3,1
Telangana,JANGOAN,Castor seed,2018,Kharif     ,3,2,0.67
Telangana,JANGOAN,Castor seed,2019,Kharif     ,10,13,1.3
Telangana,JOGULAMBA,Castor seed,2016,Kharif     ,13550,8116,0.6
Telangana,JOGULAMBA,Castor seed,2016,Rabi       ,4,2,0.5
Telangana,JOGULAMBA,Castor seed,2017,Kharif     ,5623,5949,1.06
Telangana,JOGULAMBA,Castor seed,2017,Rabi       ,36,38,1.06
